熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,熱點緯度(Latitude),熱點經度(Longitude)
tainan熱點,臺南市政府稅務總局,行政機關,102,中西區,進學里,700臺南市中西區進學里忠義路一段96號,22.9878472,120.2020776
tainan熱點,新營稅務分局,行政機關,99,新營區,忠政里,730臺南市新營區忠政里民治路36號,23.311147,120.314274
tainan熱點,臺南市政府環保局(永華辦公室),行政機關,102,東區,東聖里,701臺南市東區中華東路二段133巷72號,22.9847431,120.235168
tainan熱點,臺南市政府環保局(民治辦公室),行政機關,103,新營區,埤寮里,730臺南市新營區長榮路二段78號,23.32128,120.309929
tainan熱點,臺南市無障礙福利之家,行政機關,103,東區,大學里,701臺南市東區大學里林森路2段500號,23.0002171,120.2247351
tainan熱點,學甲區公所,行政機關,102,學甲區,仁得里,726臺南市學甲區仁得里華宗路313號,23.2304693,120.1823338
tainan熱點,學甲區衛生所,行政機關,103,學甲區,仁得里,726臺南市學甲區仁得里建國路38號1樓,23.2302094,120.1817447
tainan熱點,龍崎區公所,行政機關,102,龍崎區,崎頂里,719臺南市龍崎區崎頂里新市子103號,22.966049,120.360127
tainan熱點,龍崎區衛生所,行政機關,103,龍崎區,崎頂里,719臺南市龍崎區崎頂里新市子158號,22.966049,120.360127
tainan熱點,歸仁區公所,行政機關,102,歸仁區,後市里,711臺南市歸仁區後市里中山路二段二號,22.9667832,120.289801
tainan熱點,歸仁區衛生所,行政機關,103,歸仁區,後市里,711臺南市歸仁區後市里中正北路一段1號,22.9686846,120.2941989
tainan熱點,關廟區公所,行政機關,102,關廟區,香洋里,718臺南市關廟區香洋里中正路998號,22.9627487,120.3276665
tainan熱點,關廟區衛生所,行政機關,103,關廟區,山西里,718臺南市關廟區山西里中正路1000號,22.9627487,120.3276665
tainan熱點,鹽水區公所,行政機關,102,鹽水區,水仙里,737臺南市鹽水區水仙里中山路47號,23.3199452,120.2661186
tainan熱點,鹽水區衛生所,行政機關,103,鹽水區,中境里,737臺南市鹽水區中境里武廟路1號,23.3202036,120.2653704
tainan熱點,七股區中寮社區關懷據點,社區發展,103,七股區,中寮里,724臺南市七股區中寮里64-1號,23.1567918,120.1156226
tainan熱點,下營區中營社區關懷據點,社區發展,103,下營區,中營里,735臺南市下營區開化里中營242號,23.2137363,120.2764331
tainan熱點,下營區賀建社區關懷據點,社區發展,103,下營區,賀建里,735臺南市下營區賀建里火燒珠10-1號,23.256646,120.279163
tainan熱點,大內區環湖社區關懷據點,社區發展,103,大內區,環湖里,742臺南市大內區環湖里56號,23.1736117,120.4300017
tainan熱點,山上區玉峰里關懷據點,社區發展,103,山上區,玉峰里,743臺南市山上區玉峰里蚵殼潭35號,23.0951559,120.3954282
tainan熱點,中西區西賢里關懷據點,社區發展,103,中西區,西賢里,700臺南市中西區西賢里民權路四段470號,22.9998986,120.1732096
tainan熱點,中西區林澄輝社福基金會關懷據點(藥王里、民權里、協進里),社區發展,103,中西區,藥王里,700臺南市中西區藥王里臨安路一段89號3樓,22.9993238,120.1907124
tainan熱點,仁德區三甲里關懷據點,社區發展,103,仁德區,三甲里,717臺南市仁德區三甲里三甲子11之5號,22.9326731,120.2368486
tainan熱點,六甲區七甲里關懷據點,社區發展,103,六甲區,七甲里,734臺南市六甲區七甲里七甲街89巷4號,23.22192,120.34551
tainan熱點,六甲區六甲里關懷據點,社區發展,103,六甲區,六甲里,734臺南市六甲區六甲里信義街238巷14弄17-1號,23.229746,120.349369
tainan熱點,北門區三慈社區關懷據點,社區發展,103,北門區,三光里,727臺南市北門區三光里119號,23.2332276,120.1098472
tainan熱點,北區力行里關懷據點,社區發展,103,北區,力行里,704臺南市北區力行里力行一街52號,23.0082926,120.2286683
tainan熱點,北區安民社區關懷據點,社區發展,103,北區,安民里,704臺南市北區安民里海安路三段59號,23.0022084,120.1991827
tainan熱點,左鎮區睦光社區關懷據點,社區發展,103,左鎮區,睦光里,713臺南市左鎮區睦光里3鄰24號,23.0601765,120.4213592
tainan熱點,永康區六合社區關懷據點,社區發展,103,永康區,六合里,710臺南市永康區六合里中華二路358巷43號,23.0090957,120.2301482
tainan熱點,永康區烏竹里關懷據點,社區發展,103,永康區,烏竹里,710臺南市永康區烏竹里烏竹北街85號,23.0451611,120.263187
tainan熱點,永康區復興里關懷據點,社區發展,103,永康區,復興里,710臺南市永康區復興里復興路356巷13號,22.9990546,120.2413835
tainan熱點,玉井區竹圍里關懷據點,社區發展,103,玉井區,竹圍里,714臺南市玉井區竹圍里武成街155巷7號,23.1337231,120.478965
tainan熱點,白河區大林社區關懷據點,社區發展,103,白河區,大林里,732臺南市白河區大林里檨子林20-13號,23.3369326,120.4559258
tainan熱點,白河區外角社區關懷據點,社區發展,103,白河區,外角里,732臺南市白河區外角里三民路26號,23.350125,120.425096
tainan熱點,安平區虹橋傳道協會關懷據點,社區發展,103,安平區,虹橋里,708臺南市安平區虹橋里怡平路140巷29號,22.9934043,120.1647036
tainan熱點,安定區中沙社區關懷據點,社區發展,103,安定區,中沙里,745臺南市安定區中沙里115-1號,23.072953,120.2079953
tainan熱點,安定區新吉社區關懷據點,社區發展,103,安定區,新吉里,745臺南市安定區新吉里123-13號,23.0849044,120.2022239
tainan熱點,安南區長安社區關懷據點,社區發展,103,安南區,長安里,709臺南市安南區長安里長溪路三段378號,23.0679397,120.1970935
tainan熱點,西港區永樂里關懷據點,社區發展,103,西港區,永樂里,723臺南市西港區永樂里大塭寮59-35號,23.107367,120.17573
tainan熱點,佳里區安西里關懷據點,社區發展,103,佳里區,安西里,722臺南市佳里區安西里光華街150巷2-2號,23.1650938,120.1745508
tainan熱點,佳里區延平社區(頂?)關懷據點,社區發展,103,佳里區,頂?里,722臺南市佳里區頂?里117號,23.1747337,120.1517133
